Date,ACWI,BTC-USD,GLD,HYG,IWM,KRE,LQD,QQQ,RSP,SMH,SOXX,SPY,UUP,XLP,XLU,XLY,^VIX
2024-09-23,115.26891326904297,,242.67999267578125,72.70339965820312,216.53335571289062,54.70412063598633,105.1608657836914,479.2245788574219,173.27003479003906,237.15765380859375,221.93846130371094,559.6408081054688,26.072731018066406,79.82233428955078,38.459815979003906,98.09957885742188,15.890000343322754
2024-09-24,116.05876159667969,,246.07000732421875,72.71248626708984,216.89630126953125,53.96318817138672,105.3372573852539,481.5361633300781,173.5236358642578,241.57427978515625,224.62693786621094,561.2421264648438,25.924694061279297,79.63020324707031,38.18691635131836,98.9587631225586,15.390000343322754
2024-09-25,115.5711898803711,,245.72999572753906,72.63079071044922,214.25074768066406,53.15489196777344,104.7153091430664,481.9826354980469,172.4507598876953,243.69822692871094,226.17462158203125,560.0043334960938,26.100486755371094,79.42845916748047,38.38800048828125,98.60324096679688,15.40999984741211
2024-09-26,116.85835266113281,,246.97999572753906,72.748779296875,215.39242553710938,53.74186325073242,104.7153091430664,485.6037902832031,173.89425659179688,250.72511291503906,234.2597198486328,562.2245483398438,25.980207443237305,79.61100006103516,38.12467575073242,99.02295684814453,15.369999885559082
2024-09-27,116.58531188964844,,245.02000427246094,72.93029022216797,216.8490447998047,53.80921936035156,105.1330337524414,482.9053039550781,174.51849365234375,245.88172912597656,230.54412841796875,561.4090576171875,25.97095489501953,79.75508880615234,38.50291061401367,99.17108917236328,16.959999084472656
2024-09-30,116.57556915283203,,243.05999755859375,72.8758544921875,217.4001922607422,54.46355438232422,104.87313079833984,484.21484375,174.74282836914062,243.60890197753906,228.4733123779297,563.6588134765625,26.072731018066406,79.73587799072266,38.67526626586914,98.93901062011719,16.729999542236328
2024-10-01,115.83448028564453,,245.61000061035156,72.83935546875,214.44757080078125,52.644901275634766,105.37713623046875,477.46856689453125,173.81622314453125,237.08819580078125,222.0726318359375,558.6093139648438,26.18375587463379,79.4668960571289,38.98646545410156,98.5390396118164,19.260000228881836
2024-10-02,116.10751342773438,,245.66000366210938,72.84846496582031,214.15234375,52.5294303894043,105.14422607421875,478.1431884765625,173.6309356689453,240.50238037109375,225.06488037109375,558.8450317382812,26.294782638549805,78.79442596435547,39.005619049072266,97.70455169677734,18.899999618530273
2024-10-03,115.53219604492188,,245.49000549316406,72.6751937866211,212.7154083251953,52.654518127441406,104.4641342163086,477.7860107421875,172.81161499023438,242.7156524658203,225.86746215820312,557.8234252929688,26.378053665161133,78.00666046142578,38.99125671386719,96.57379150390625,20.489999771118164
2024-10-04,116.50731658935547,,245.0,72.59310913085938,215.6876983642578,53.73224639892578,103.8958511352539,483.4707946777344,174.16737365722656,245.9611358642578,228.9588165283203,562.8925170898438,26.52608871459961,78.26605987548828,38.92901611328125,97.8526840209961,19.209999084472656
2024-10-07,115.77597045898438,,244.1699981689453,72.28304290771484,213.99485778808594,53.49168395996094,103.36481475830078,478.2920227050781,172.81161499023438,246.35812377929688,228.3345947265625,557.8037109375,26.544593811035156,77.4879150390625,38.03370666503906,96.33184051513672,22.639999389648438
2024-10-08,116.07826232910156,,242.3699951171875,72.45632934570312,214.14248657226562,53.32809829711914,103.56977844238281,485.43511962890625,173.2212677001953,250.62586975097656,230.58377075195312,563.0791625976562,26.544593811035156,77.87217712402344,38.05286407470703,97.27003479003906,21.420000076293945
2024-10-09,116.55606842041016,,241.0500030517578,72.41073608398438,214.61492919921875,54.02091979980469,103.36481475830078,489.2547302246094,174.4112091064453,253.23614501953125,232.99143981933594,566.9793701171875,26.664871215820312,78.34291076660156,37.727294921875,97.96625518798828,20.860000610351562
2024-10-10,116.43905639648438,,242.82000732421875,72.37422943115234,213.4240264892578,53.97280502319336,103.25301361083984,488.69915771484375,173.75770568847656,252.73988342285156,231.35658264160156,565.9871215820312,26.65561866760254,77.99706268310547,37.61239242553711,97.48235321044922,20.93000030517578
2024-10-11,117.17039489746094,,245.47000122070312,72.56575012207031,217.76434326171875,55.839576721191406,103.23435974121094,489.4630432128906,175.46456909179688,254.76458740234375,233.29861450195312,569.3763427734375,26.674121856689453,78.42936706542969,37.942745208740234,97.06758117675781,20.459999084472656
2024-10-14,117.77496337890625,,245.07000732421875,72.60224151611328,219.3685760498047,56.2822151184082,103.24370574951172,493.5703430175781,176.7520294189453,259.3201904296875,237.59878540039062,574.0328369140625,26.75739288330078,78.74638366699219,38.42151641845703,97.49223327636719,19.700000762939453
2024-10-15,116.54631805419922,,245.9199981689453,72.58399963378906,219.54576110839844,56.8980598449707,103.74678039550781,486.972900390625,175.95223999023438,245.3060760498047,225.27297973632812,569.5728759765625,26.775897979736328,79.24593353271484,38.5938720703125,97.70455169677734,20.639999389648438
2024-10-16,117.01437377929688,,247.14999389648438,72.71167755126953,223.1577911376953,57.67748260498047,104.07286071777344,487.03240966796875,177.14215087890625,245.46487426757812,225.27297973632812,572.0485229492188,26.84991455078125,79.18828582763672,39.35991287231445,98.21807861328125,19.579999923706055
2024-10-17,116.96561431884766,,248.6300048828125,72.60224151611328,222.54757690429688,58.177852630615234,103.29959106445312,487.3697204589844,176.85931396484375,249.6929168701172,227.04649353027344,572.0975341796875,26.933185577392578,78.83283996582031,39.010406494140625,98.12921142578125,19.110000610351562
2024-10-18,117.64820098876953,,251.27000427246094,72.7755126953125,222.08499145507812,57.38880920410156,103.17850494384766,490.5643310546875,177.385986328125,249.62342834472656,227.2545928955078,574.298095703125,26.859169006347656,79.00576782226562,39.23542785644531,98.51435089111328,18.030000686645508
2024-10-21,117.08263397216797,,251.22000122070312,72.48367309570312,218.59109497070312,55.704864501953125,102.12574768066406,491.5068054199219,175.8742218017578,250.94346618652344,226.82855224609375,573.3550415039062,26.979446411132812,78.34291076660156,39.082218170166016,97.7490005493164,18.3700008392334
2024-10-22,116.8291015625,,253.92999267578125,72.38337707519531,217.76434326171875,56.40730667114258,102.11640930175781,492.04248046875,175.0841522216797,249.80209350585938,225.98635864257812,573.050537109375,27.0072021484375,78.7848129272461,38.943382263183594,97.35397338867188,18.200000762939453
2024-10-23,115.79547882080078,,250.8699951171875,72.16449737548828,215.77627563476562,56.44580078125,101.77171325683594,484.5025329589844,174.50869750976562,247.14218139648438,223.96507263183594,567.8143310546875,27.09972381591797,78.631103515625,39.31682205200195,95.82324981689453,19.239999771118164
2024-10-24,116.0685043334961,,252.8000030517578,72.37422943115234,216.24868774414062,56.73447036743164,102.07915496826172,488.4312744140625,174.54774475097656,248.184326171875,225.21351623535156,569.0424194335938,26.99795150756836,78.52542114257812,39.06306838989258,98.84518432617188,19.079999923706055
2024-10-25,115.86373138427734,,253.32000732421875,72.3012924194336,215.43177795410156,55.7144889831543,101.83692169189453,491.4075927734375,173.71868896484375,251.0625762939453,227.47259521484375,568.8458251953125,27.090473175048828,77.87217712402344,38.48375701904297,99.1562728881836,20.329999923706055
2024-10-28,116.46830749511719,,253.3300018310547,72.48367309570312,218.94541931152344,57.31182861328125,101.75310516357422,491.4869689941406,174.70379638671875,249.32569885253906,227.61129760742188,570.6043701171875,27.090473175048828,78.01628112792969,38.78538131713867,99.38835144042969,19.799999237060547
2024-10-29,116.40005493164062,,256.0899963378906,72.50191497802734,218.2367706298828,56.97504425048828,101.87419891357422,496.2093505859375,174.17710876464844,254.9928741455078,233.2094268798828,571.52783203125,27.09972381591797,77.24773406982422,37.95710372924805,98.86988067626953,19.34000015258789
2024-10-30,115.88323974609375,,257.5,72.37422943115234,217.9415283203125,57.552391052246094,101.7437744140625,492.4592590332031,173.79672241210938,248.79965209960938,224.98562622070312,569.7987670898438,27.034957885742188,77.12284851074219,37.86613464355469,98.73161315917969,20.350000381469727
2024-10-31,114.13777923583984,,253.50999450683594,72.17359161376953,214.31964111328125,56.724849700927734,101.538818359375,480.0281982421875,171.94357299804688,239.86717224121094,216.25648498535156,558.6289672851562,27.016454696655273,76.9691390991211,38.258731842041016,97.22065734863281,23.15999984741211
2024-11-01,114.57658386230469,,252.47000122070312,72.1781997680664,215.52035522460938,56.42655563354492,100.98252868652344,483.57989501953125,172.05084228515625,242.91415405273438,218.55519104003906,560.9866943359375,27.127479553222656,76.99796295166016,37.406517028808594,98.80075073242188,21.8799991607666
2024-11-04,114.55707550048828,,252.8300018310547,72.37984466552734,216.61282348632812,55.93581008911133,101.73047637939453,482.171142578125,172.2556915283203,242.43775939941406,217.29685974121094,559.7783813476562,27.025707244873047,77.20932006835938,36.96125793457031,98.46003723144531,21.979999542236328
2024-11-05,115.89299011230469,,253.39999389648438,72.58148956298828,220.6874237060547,56.8980598449707,102.21664428710938,488.3221740722656,174.26487731933594,246.44744873046875,219.8333282470703,566.5470581054688,26.91468048095703,77.69924926757812,37.51663589477539,100.20308685302734,20.489999771118164
2024-11-06,117.27764892578125,,245.6999969482422,72.70980834960938,233.47219848632812,64.52872467041016,101.15081024169922,501.5865478515625,178.39059448242188,252.898681640625,226.2439727783203,580.6345825195312,27.349533081054688,76.43116760253906,37.12882995605469,103.40773010253906,16.270000457763672
2024-11-07,118.59407043457031,,249.64999389648438,73.02141571044922,232.64547729492188,62.19045639038086,102.34752655029297,509.4836730957031,178.56614685058594,259.0621032714844,230.96029663085938,585.124267578125,27.127479553222656,76.70975494384766,37.19586181640625,104.73601531982422,15.199999809265137
2024-11-08,118.28202819824219,,247.9600067138672,73.14057922363281,234.35797119140625,62.52724838256836,102.70279693603516,510.0788879394531,179.56103515625,257.39471435546875,229.23623657226562,587.65869140625,27.31252670288086,77.64160919189453,37.90923309326172,106.22227478027344,14.9399995803833
2024-11-11,118.42829895019531,,242.13999938964844,73.0580825805664,237.88140869140625,64.46137237548828,102.50645446777344,509.7813415527344,180.45834350585938,251.6282958984375,223.4993896484375,588.2186889648438,27.46981430053711,77.37262725830078,38.014556884765625,108.36530303955078,14.970000267028809
2024-11-12,117.55069732666016,,240.0500030517578,72.76477813720703,233.7084197998047,64.08609008789062,101.58087921142578,508.858642578125,179.08311462402344,249.9708251953125,221.06198120117188,586.3914184570312,27.590091705322266,77.4590835571289,37.57887649536133,106.91851043701172,14.710000038146973
2024-11-13,117.31665802001953,,237.6300048828125,72.78311920166016,231.39553833007812,63.69157028198242,101.19756317138672,508.203857421875,179.18064880371094,245.77255249023438,216.36549377441406,586.6763305664062,27.747379302978516,77.68964385986328,37.511844635009766,107.83201599121094,14.020000457763672
2024-11-14,116.77059936523438,,237.00999450683594,72.6272964477539,228.27561950683594,63.34516143798828,101.16950988769531,504.6719970703125,177.74688720703125,246.3184051513672,216.23667907714844,582.9039306640625,27.858407974243164,77.49750518798828,37.3825798034668,106.30128479003906,14.3100004196167
